Figure Number,Setting,Select Measure,Select Measure 2,Response category,Population,Value type,Reporting Period,Select Group,Value,Low 95% CI,High 95% CI,Reliability
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,372.0,284,459,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,313.4,210,416,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,Total,28.4,26.8,30,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: Northeast,23.4,20,27.2,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: Midwest,28.2,24.6,32.1,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: South,33.0,30.3,35.9,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: West,26.4,23.6,29.5,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,Metropolitan Statistical Area: Metropolitan,28.2,26.5,30.1,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,Any since January 2020,Metropolitan Statistical Area: Non-metropolitan,29.3,25.5,33.3,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,Total,19.1,17.7,20.6,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,US Census Region: Northeast,16.0,13.1,19.4,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,US Census Region: Midwest,18.0,15,21.4,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,US Census Region: South,23.7,21.2,26.4,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,US Census Region: West,16.7,14.3,19.3,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,Metropolitan Statistical Area: Metropolitan,19.1,17.6,20.7,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,January-March 2020,Metropolitan Statistical Area: Non-metropolitan,19.3,16,23,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,Total,20.1,18.7,21.6,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,US Census Region: Northeast,14.3,11.5,17.5,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,US Census Region: Midwest,19.4,16.3,22.9,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,US Census Region: South,24.1,21.6,26.8,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,US Census Region: West,19.5,17,22.3,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,Metropolitan Statistical Area: Metropolitan,20.2,18.7,21.8,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,April-June 2020,Metropolitan Statistical Area: Non-metropolitan,19.4,16.3,23,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,Total,14.2,13,15.5,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,US Census Region: Northeast,9.6,7.3,12.4,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,US Census Region: Midwest,14.2,11.5,17.3,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,US Census Region: South,17.4,15.2,19.9,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,US Census Region: West,13.5,11.4,16,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,Metropolitan Statistical Area: Metropolitan,14.0,12.7,15.4,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,July-September 2020,Metropolitan Statistical Area: Non-metropolitan,15.6,12.7,19,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,Total,9.4,8.4,10.5,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: Northeast,7.3,5.4,9.9,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: Midwest,8.0,5.9,10.7,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: South,11.6,9.8,13.8,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: West,8.9,7.1,10.9,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,Metropolitan Statistical Area: Metropolitan,9.4,8.3,10.7,
3,Adult Day Services Center,"Eye protection, gloves, face masks, or isolation gowns",n/a,Yes,n/a,Percent,October 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,9.2,7,12.1,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,Total,28.6,27,30.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: Northeast,24.3,20.9,28.1,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: Midwest,24.5,21.1,28.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: South,34.2,31.4,37.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,US Census Region: West,26.9,24,29.9,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,Metropolitan Statistical Area: Metropolitan,28.7,26.9,30.5,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,Any since January 2020,Metropolitan Statistical Area: Non-metropolitan,28.2,24.5,32.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,Total,21.6,20.1,23.1,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,US Census Region: Northeast,18.9,15.8,22.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,US Census Region: Midwest,18.0,15,21.5,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,US Census Region: South,27.5,24.9,30.3,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,US Census Region: West,18.5,16.1,21.3,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,Metropolitan Statistical Area: Metropolitan,21.8,20.2,23.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,January-March 2020,Metropolitan Statistical Area: Non-metropolitan,20.5,17.1,24.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,Total,20.9,19.5,22.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,US Census Region: Northeast,16.1,13.3,19.5,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,US Census Region: Midwest,18.7,15.7,22,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,US Census Region: South,25.7,23.1,28.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,US Census Region: West,19.7,17.1,22.5,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,Metropolitan Statistical Area: Metropolitan,20.9,19.4,22.6,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,April-June 2020,Metropolitan Statistical Area: Non-metropolitan,21.0,17.7,24.7,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,Total,16.4,15.1,17.8,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,US Census Region: Northeast,12.2,9.7,15.3,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,US Census Region: Midwest,15.5,12.7,18.7,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,US Census Region: South,18.5,16.3,20.9,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,US Census Region: West,16.9,14.5,19.6,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,Metropolitan Statistical Area: Metropolitan,16.1,14.7,17.6,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,July-September 2020,Metropolitan Statistical Area: Non-metropolitan,18.2,15.1,21.8,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,Total,13.0,11.9,14.3,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: Northeast,10.9,8.5,13.8,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: Midwest,11.5,9.1,14.4,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: South,15.0,13,17.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,US Census Region: West,12.9,10.8,15.3,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,Metropolitan Statistical Area: Metropolitan,12.9,11.6,14.2,
3,Adult Day Services Center,N95 respirators,n/a,Yes,n/a,Percent,October 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,14.0,11.2,17.3,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,Total,73.7,72.1,75.2,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,72.2,68.3,75.8,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,82.7,79.2,85.6,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: South,81.4,79,83.5,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: West,62.8,59.6,65.9,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,71.5,69.7,73.2,
4,Adult Day Services Center,Screened symptoms daily,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,87.5,84.6,89.8,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,Total,47.5,45.7,49.2,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,39.1,35,43.3,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,60.0,55.6,64.1,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: South,55.1,52.2,58,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: West,38.9,35.8,42.1,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,46.1,44.2,48,
4,Adult Day Services Center,Notification of cases within 24 hours,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,56.1,51.9,60.2,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,Total,25.5,24,27.1,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,30.8,27.2,34.7,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,19.1,16.1,22.6,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: South,24.2,21.7,26.9,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: West,26.8,23.9,29.8,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,26.7,25,28.4,
4,Adult Day Services Center,Used telephonics/audio-only appointments,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,18.5,15.5,22.1,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,Total,17.4,16.1,18.8,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,28.0,24.5,31.8,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,9.9,7.7,12.5,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: South,13.0,11.1,15.2,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: West,19.3,16.8,22.1,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,18.5,17.1,20.1,
4,Adult Day Services Center,Used telemedicine/telehealth,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,10.4,8.2,13.2,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,Total,72.9,71.2,74.4,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,74.3,70.4,77.8,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,84.0,80.7,86.9,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: South,69.4,66.5,72.1,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,US Census Region: West,70.9,67.7,73.8,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,71.5,69.7,73.3,
4,Adult Day Services Center,Limited activities/hours/temporarily closed,n/a,Yes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,81.3,77.7,84.4,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,Total,57.8,56.1,59.6,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Total,23.7,22.3,25.3,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,Total,8.1,7.2,9.2,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Total,10.3,9.2,11.5,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,57.2,53.1,61.2,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,22.9,19.7,26.4,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,7.0,5.1,9.5,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,12.9,10.3,16,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,55.2,51,59.3,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,28.2,24.5,32.2,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,9.4,7.1,12.2,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,7.3,5.5,9.6,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: South,62.6,59.7,65.3,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: South,21.0,18.7,23.4,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: South,6.9,5.5,8.7,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: South,9.6,7.9,11.5,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: West,54.5,51.2,57.8,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: West,25.2,22.5,28.1,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: West,9.4,7.6,11.5,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: West,10.9,9,13.2,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,57.8,55.9,59.8,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,22.9,21.3,24.5,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,8.2,7.2,9.4,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,11.1,9.9,12.4,
5,Adult Day Services Center,Family and relatives,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,57.9,53.7,61.9,
5,Adult Day Services Center,Family and relatives,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,29.2,25.5,33.2,
5,Adult Day Services Center,Family and relatives,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,7.5,5.5,10.1,
5,Adult Day Services Center,Family and relatives,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,5.4,3.9,7.5,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,Total,65.3,63.6,67,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Total,18.3,16.9,19.7,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,Total,6.1,5.3,7,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Total,10.3,9.2,11.5,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,60.3,56.2,64.4,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,21.0,17.8,24.6,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,5.4,3.8,7.7,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,13.3,10.6,16.4,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,66.9,62.8,70.7,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,17.6,14.7,21.1,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,8.2,6.1,11,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,7.3,5.5,9.6,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: South,71.4,68.7,74,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: South,14.3,12.5,16.4,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: South,4.8,3.6,6.3,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: South,9.4,7.8,11.4,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: West,61.2,57.8,64.4,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: West,21.1,18.5,24,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: West,6.9,5.4,8.8,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: West,10.8,8.9,13.1,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,64.6,62.7,66.5,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,18.3,16.8,19.8,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,6.0,5.1,7,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,11.1,9.9,12.4,
5,Adult Day Services Center,Visitors,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,69.6,65.6,73.4,
5,Adult Day Services Center,Visitors,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,18.2,15.1,21.8,
5,Adult Day Services Center,Visitors,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6.7,4.8,9.4,
5,Adult Day Services Center,Visitors,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,5.5,3.9,7.6,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,Total,68.8,67.1,70.5,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Total,12.5,11.4,13.7,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,Total,7.0,6.2,8,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Total,11.7,10.5,12.9,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,64.8,60.7,68.7,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,14.8,12.1,18,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,6.2,4.5,8.5,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Northeast,14.2,11.5,17.5,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,65.8,61.6,69.8,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,16.3,13.4,19.8,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,8.9,6.7,11.9,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: Midwest,9.0,6.9,11.5,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: South,73.0,70.3,75.5,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: South,10.4,8.8,12.4,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: South,6.1,4.8,7.7,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: South,10.5,8.8,12.5,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,US Census Region: West,68.1,64.9,71.1,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,US Census Region: West,11.6,9.7,13.9,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,US Census Region: West,7.7,6.1,9.7,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,US Census Region: West,12.6,10.5,15,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,68.4,66.5,70.2,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,12.3,11.1,13.6,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,6.9,5.9,7.9,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,12.4,11.2,13.8,
5,Adult Day Services Center,Volunteers,n/a,Always,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,71.6,67.5,75.4,
5,Adult Day Services Center,Volunteers,n/a,Sometimes,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,13.4,10.7,16.6,
5,Adult Day Services Center,Volunteers,n/a,Never,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,8.2,6,11.2,
5,Adult Day Services Center,Volunteers,n/a,Don't know/missing,n/a,Percent,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,6.8,5,9.1,
